"company","highest_hourly_price","datetime","hour"
"bynd","137.97","2020-05-14 13:39:00.000","9"
"bynd","139.56","2020-05-14 14:31:00.000","10"
"bynd","141.0","2020-05-14 15:15:00.000","11"
"bynd","138.24","2020-05-14 16:57:00.000","12"
"bynd","137.79","2020-05-14 17:00:00.000","13"
"bynd","135.73","2020-05-14 18:12:00.000","14"
"bynd","135.85","2020-05-14 19:54:00.000","15"
"ddog","67.25","2020-05-14 13:32:00.000","9"
"ddog","66.55","2020-05-14 14:09:00.000","10"
"ddog","65.0","2020-05-14 15:20:00.000","11"
"ddog","65.0","2020-05-14 15:06:00.000","11"
"ddog","65.0","2020-05-14 15:16:00.000","11"
"ddog","65.0","2020-05-14 15:05:00.000","11"
"ddog","64.88","2020-05-14 16:54:00.000","12"
"ddog","65.0","2020-05-14 17:02:00.000","13"
"ddog","64.13","2020-05-14 18:48:00.000","14"
"ddog","65.87","2020-05-14 19:54:00.000","15"
"fb","203.87","2020-05-14 13:37:00.000","9"
"fb","203.35","2020-05-14 14:53:00.000","10"
"fb","204.27","2020-05-14 15:37:00.000","11"
"fb","205.1","2020-05-14 16:56:00.000","12"
"fb","205.64","2020-05-14 17:32:00.000","13"
"fb","204.99","2020-05-14 18:29:00.000","14"
"fb","206.93","2020-05-14 19:59:00.000","15"
"nflx","452.0","2020-05-14 13:36:00.000","9"
"nflx","446.51","2020-05-14 14:08:00.000","10"
"nflx","440.64","2020-05-14 15:16:00.000","11"
"nflx","440.34","2020-05-14 16:59:00.000","12"
"nflx","441.78","2020-05-14 17:49:00.000","13"
"nflx","441.44","2020-05-14 18:30:00.000","14"
"nflx","442.14","2020-05-14 19:59:00.000","15"
"okta","178.0","2020-05-14 13:38:00.000","9"
"okta","178.0","2020-05-14 13:39:00.000","9"
"okta","177.81","2020-05-14 14:10:00.000","10"
"okta","179.89","2020-05-14 15:37:00.000","11"
"okta","179.01","2020-05-14 16:57:00.000","12"
"okta","178.5","2020-05-14 17:02:00.000","13"
"okta","178.5","2020-05-14 17:03:00.000","13"
"okta","177.81","2020-05-14 18:32:00.000","14"
"okta","177.85","2020-05-14 19:05:00.000","15"
"pins","16.54","2020-05-14 13:31:00.000","9"
"pins","16.54","2020-05-14 13:32:00.000","9"
"pins","16.67","2020-05-14 14:55:00.000","10"
"pins","16.67","2020-05-14 14:52:00.000","10"
"pins","16.67","2020-05-14 14:54:00.000","10"
"pins","16.67","2020-05-14 14:53:00.000","10"
"pins","16.94","2020-05-14 15:19:00.000","11"
"pins","16.94","2020-05-14 15:18:00.000","11"
"pins","17.04","2020-05-14 16:57:00.000","12"
"pins","17.03","2020-05-14 17:26:00.000","13"
"pins","16.91","2020-05-14 18:22:00.000","14"
"pins","16.91","2020-05-14 18:21:00.000","14"
"pins","17.09","2020-05-14 19:50:00.000","15"
"pins","17.09","2020-05-14 19:51:00.000","15"
"shop","758.09","2020-05-14 13:31:00.000","9"
"shop","752.0","2020-05-14 14:12:00.000","10"
"shop","752.0","2020-05-14 14:10:00.000","10"
"shop","757.47","2020-05-14 15:16:00.000","11"
"shop","754.16","2020-05-14 16:57:00.000","12"
"shop","755.82","2020-05-14 17:01:00.000","13"
"shop","751.8","2020-05-14 18:57:00.000","14"
"shop","755.57","2020-05-14 19:50:00.000","15"
"snap","16.73","2020-05-14 13:31:00.000","9"
"snap","16.93","2020-05-14 14:53:00.000","10"
"snap","16.93","2020-05-14 14:54:00.000","10"
"snap","17.15","2020-05-14 15:07:00.000","11"
"snap","16.99","2020-05-14 16:57:00.000","12"
"snap","17.0","2020-05-14 17:31:00.000","13"
"snap","16.92","2020-05-14 18:57:00.000","14"
"snap","16.92","2020-05-14 18:58:00.000","14"
"snap","16.97","2020-05-14 19:08:00.000","15"
"snap","16.97","2020-05-14 19:09:00.000","15"
"snap","16.97","2020-05-14 19:04:00.000","15"
"sq","72.81","2020-05-14 13:46:00.000","9"
"sq","75.59","2020-05-14 14:59:00.000","10"
"sq","76.49","2020-05-14 15:09:00.000","11"
"sq","76.75","2020-05-14 16:59:00.000","12"
"sq","77.18","2020-05-14 17:48:00.000","13"
"sq","77.26","2020-05-14 18:59:00.000","14"
"sq","78.25","2020-05-14 19:57:00.000","15"
"ttd","289.45","2020-05-14 13:31:00.000","9"
"ttd","290.07","2020-05-14 14:53:00.000","10"
"ttd","296.86","2020-05-14 15:18:00.000","11"
"ttd","294.5","2020-05-14 16:57:00.000","12"
"ttd","296.0","2020-05-14 17:31:00.000","13"
"ttd","295.77","2020-05-14 18:59:00.000","14"
"ttd","297.67","2020-05-14 19:24:00.000","15"
